"","Time","Variable","n","Estimate","CI","p_value","p_value_FDR"
"1","V06","EACSF",17,"-0.13","(-0.57, 0.38)",0.625,NA
"2","V12","EACSF",16,"-0.3","(-0.69, 0.23)",0.267,NA
"3","V24","EACSF",19,"-0.12","(-0.55, 0.35)",0.61,NA
"4","V06","TCV",17,"-0.1","(-0.55, 0.4)",0.701,0.701
"5","V12","TCV",15,"-0.12","(-0.59, 0.42)",0.675,0.701
"6","V24","TCV",21,"-0.14","(-0.54, 0.31)",0.547,0.701
"7","V06","TSA",16,"-0.29","(-0.69, 0.24)",0.273,0.701
"8","V12","TSA",16,"-0.19","(-0.62, 0.34)",0.488,0.701
"9","V24","TSA",21,"-0.19","(-0.57, 0.27)",0.418,0.701
"10","V06","CCbody",16,"0.04","(-0.47, 0.52)",0.888,NA
"11","V12","CCbody",16,"0.21","(-0.32, 0.64)",0.433,NA
"12","V24","CCbody",18,"-0.33","(-0.69, 0.16)",0.175,NA
"13","V06","CCGenu",16,"-0.19","(-0.63, 0.33)",0.472,NA
"14","V12","CCGenu",16,"-0.1","(-0.57, 0.42)",0.713,NA
"15","V24","CCGenu",18,"-0.17","(-0.59, 0.33)",0.509,NA
"16","V06","CCSplenium",16,"0","(-0.5, 0.49)",0.989,NA
"17","V12","CCSplenium",16,"-0.19","(-0.63, 0.34)",0.475,NA
"18","V24","CCSplenium",18,"-0.11","(-0.55, 0.38)",0.673,NA
"19","V06","ROI01",16,"-0.21","(-0.64, 0.31)",0.425,NA
"20","V12","ROI01",16,"0.14","(-0.39, 0.59)",0.616,NA
"21","V24","ROI01",21,"-0.02","(-0.45, 0.41)",0.915,NA
"22","V06","ROI02",16,"-0.16","(-0.61, 0.36)",0.551,NA
"23","V12","ROI02",16,"-0.28","(-0.68, 0.25)",0.286,NA
"24","V24","ROI02",21,"-0.19","(-0.57, 0.26)",0.409,NA
"25","V06","ROI08",16,"-0.31","(-0.7, 0.22)",0.25,NA
"26","V12","ROI08",16,"-0.13","(-0.59, 0.39)",0.62,NA
"27","V24","ROI08",21,"-0.1","(-0.51, 0.34)",0.657,NA
"28","V06","ROI41",16,"-0.11","(-0.57, 0.41)",0.698,NA
"29","V12","ROI41",16,"-0.18","(-0.62, 0.34)",0.498,NA
"30","V24","ROI41",21,"-0.13","(-0.53, 0.32)",0.577,NA
"31","V06","ROI42",16,"-0.08","(-0.55, 0.43)",0.763,NA
"32","V12","ROI42",16,"-0.03","(-0.51, 0.48)",0.924,NA
"33","V24","ROI42",21,"-0.22","(-0.59, 0.24)",0.341,NA
"34","V06","ROI44",16,"-0.2","(-0.63, 0.33)",0.464,NA
"35","V12","ROI44",16,"-0.16","(-0.61, 0.36)",0.545,NA
"36","V24","ROI44",21,"0","(-0.43, 0.43)",0.997,NA
"37","V06","ROI47",16,"-0.35","(-0.72, 0.17)",0.182,NA
"38","V12","ROI47",16,"-0.11","(-0.58, 0.41)",0.677,NA
"39","V24","ROI47",21,"-0.15","(-0.54, 0.31)",0.529,NA
"40","V06","ROI48",16,"-0.36","(-0.73, 0.16)",0.17,NA
"41","V12","ROI48",16,"-0.03","(-0.52, 0.47)",0.911,NA
"42","V24","ROI48",21,"-0.44","(-0.73, -0.01)",0.046,NA
"43","V06","ROI59",16,"-0.14","(-0.59, 0.38)",0.611,NA
"44","V12","ROI59",16,"-0.2","(-0.64, 0.32)",0.446,NA
"45","V24","ROI59",21,"-0.04","(-0.46, 0.4)",0.871,NA
"46","V06","ROI60",16,"0.16","(-0.37, 0.6)",0.565,NA
"47","V12","ROI60",16,"-0.09","(-0.56, 0.43)",0.753,NA
"48","V24","ROI60",21,"0.27","(-0.18, 0.63)",0.235,NA
"49","V06","ROI77",16,"0.04","(-0.46, 0.53)",0.882,NA
"50","V12","ROI77",16,"-0.09","(-0.56, 0.42)",0.74,NA
"51","V24","ROI77",21,"-0.07","(-0.49, 0.38)",0.771,NA
"52","V06","VABS_SA_SOC_STD",20,"-0.33","(-0.68, 0.13)",0.151,0.701
