"","group","Time","Variable","n","Estimate","CI","p_value","p_value_FDR"
"1","ASD","V06","TSA",33,"0.28","(-0.07, 0.57)",0.115,0.197
"2","ASD","V12","TSA",39,"0.4","(0.1, 0.64)",0.011,0.044
"3","ASD","V24","TSA",46,"0.41","(0.14, 0.63)",0.004,0.024
"4","ASD","V06","TCV",44,"0.31","(0.02, 0.56)",0.039,0.078
"5","ASD","V12","TCV",39,"0.36","(0.05, 0.61)",0.024,0.058
"6","ASD","V24","TCV",48,"0.35","(0.07, 0.58)",0.015,0.045
"7","ASD","V06","EACSF",42,"-0.02","(-0.32, 0.29)",0.905,0.905
"8","ASD","V12","EACSF",39,"0.16","(-0.16, 0.46)",0.319,0.425
"9","ASD","V24","EACSF",42,"0.2","(-0.11, 0.48)",0.202,0.303
"10","ASD","V06","CCSplenium",42,"0.45","(0.17, 0.66)",0.003,0.024
"11","ASD","V12","CCSplenium",36,"-0.09","(-0.4, 0.25)",0.616,0.672
"12","ASD","V24","CCSplenium",40,"0.09","(-0.23, 0.39)",0.581,0.672
"13","Atyp","V06","TSA",33,"-0.04","(-0.38, 0.31)",0.826,0.971
"14","Atyp","V12","TSA",40,"-0.12","(-0.42, 0.19)",0.443,0.971
"15","Atyp","V24","TSA",44,"0.23","(-0.07, 0.49)",0.138,0.828
"16","Atyp","V06","TCV",37,"0.09","(-0.24, 0.4)",0.593,0.971
"17","Atyp","V12","TCV",40,"-0.06","(-0.37, 0.25)",0.697,0.971
"18","Atyp","V24","TCV",44,"0.28","(-0.01, 0.54)",0.062,0.744
"19","Atyp","V06","EACSF",33,"0.01","(-0.34, 0.35)",0.962,0.971
"20","Atyp","V12","EACSF",38,"0.05","(-0.28, 0.36)",0.783,0.971
"21","Atyp","V24","EACSF",36,"0.11","(-0.22, 0.43)",0.514,0.971
"22","Atyp","V06","CCSplenium",32,"0.06","(-0.29, 0.4)",0.732,0.971
"23","Atyp","V12","CCSplenium",35,"-0.16","(-0.47, 0.18)",0.359,0.971
"24","Atyp","V24","CCSplenium",39,"-0.01","(-0.32, 0.31)",0.971,0.971
"25","Typ","V06","TSA",120,"-0.03","(-0.21, 0.15)",0.741,0.808
"26","Typ","V12","TSA",155,"-0.07","(-0.22, 0.09)",0.393,0.743
"27","Typ","V24","TSA",137,"-0.09","(-0.26, 0.07)",0.272,0.743
"28","Typ","V06","TCV",130,"-0.04","(-0.21, 0.13)",0.619,0.743
"29","Typ","V12","TCV",155,"-0.05","(-0.21, 0.11)",0.515,0.743
"30","Typ","V24","TCV",142,"-0.1","(-0.26, 0.06)",0.221,0.743
"31","Typ","V06","EACSF",116,"-0.02","(-0.2, 0.16)",0.823,0.823
"32","Typ","V12","EACSF",145,"-0.09","(-0.25, 0.07)",0.272,0.743
"33","Typ","V24","EACSF",123,"-0.16","(-0.33, 0.02)",0.078,0.743
"34","Typ","V06","CCSplenium",105,"-0.05","(-0.24, 0.14)",0.59,0.743
"35","Typ","V12","CCSplenium",138,"0.08","(-0.09, 0.24)",0.375,0.743
"36","Typ","V24","CCSplenium",121,"0.05","(-0.13, 0.23)",0.583,0.743
